Player,Age,Position,CM,KG,Start,Sub,Mins,Goals,Assists,G+A,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season,Nationality,Country
M.Diarra,42,Defender,182,80,0,3,19,0,0,0,0,0,0.3,93.5,0,0,6.17,Real Madrid,2010/2011,MLI,Mali
M.Diarra,23,Forward,180,0,1,1,66,0,0,0,0,0,1.5,88.9,0,0,6.06,Cadiz,2022/2023,MLI,Mali
M.Diaz,37,Defender,166,67,10,4,983,0,1,1,3,0,0.9,89.1,0.1,0,6.53,Celta Vigo,2015/2016,DOM,Dominican Republic
M.Diaz,30,Forward,180,76,0,8,115,1,1,2,0,0,0.6,81.8,0.6,0,6.26,Real Madrid,2016/2017,DOM,Dominican Republic
M.Diaz,37,Defender,166,67,17,9,1644,1,2,3,5,0,0.5,88.3,0.5,0,6.48,Celta Vigo,2016/2017,DOM,Dominican Republic
M.Diaz,30,Forward,180,76,3,10,441,3,0,3,2,0,1.8,75,0.8,0,6.36,Real Madrid,2018/2019,DOM,Dominican Republic
M.Diaz,30,Forward,180,76,0,5,42,1,0,1,1,0,1.2,71.4,0.4,0,6.07,Real Madrid,2019/2020,DOM,Dominican Republic
M.Diaz,30,Forward,180,76,5,11,508,1,0,1,0,0,0.9,69.5,1.3,0,6.28,Real Madrid,2020/2021,DOM,Dominican Republic
M.Diaz,30,Forward,180,76,3,6,340,1,1,2,2,0,1.6,70,1,0,6.54,Real Madrid,2021/2022,DOM,Dominican Republic
M.Diaz,30,Forward,180,76,1,8,150,0,0,0,2,0,0.6,80,0.6,0,6.04,Real Madrid,2022/2023,DOM,Dominican Republic
M.Dituro,36,Goalkeeper,191,86,38,0,3420,0,0,0,1,0,0,60.2,0.2,2,6.64,Celta Vigo,2021/2022,ARG,Argentina
M.Dmitrovic,32,Goalkeeper,194,91,36,0,3240,0,0,0,1,0,0,45.8,0.4,0,6.54,Eibar,2017/2018,SRB,Serbia
M.Dmitrovic,32,Goalkeeper,194,91,35,0,3121,1,0,1,0,0,0.1,50.2,0.3,1,6.43,Eibar,2018/2019,SRB,Serbia
M.Dmitrovic,32,Goalkeeper,194,91,35,0,3150,0,0,0,3,0,0,40.9,0.3,0,6.47,Eibar,2019/2020,SRB,Serbia
M.Dmitrovic,32,Goalkeeper,194,91,35,0,3121,1,0,1,0,0,0.1,50.2,0.3,1,6.43,Eibar,2020/2021,SRB,Serbia
M.Dmitrovic,32,Goalkeeper,194,91,7,0,541,0,0,0,1,0,0,80.7,0.1,0,6.7,Sevilla,2021/2022,SRB,Serbia
M.Dmitrovic,32,Goalkeeper,194,91,13,2,1268,0,0,0,2,0,0,49.5,0.3,0,6.66,Sevilla,2022/2023,SRB,Serbia
M.Doherty,32,Defender,185,80,0,2,16,0,0,0,0,0,0,62.5,0,0,6.03,Atletico Madrid,2022/2023,IRL,Ireland
M.Dominguez,20,Forward,175,0,0,2,23,0,0,0,0,0,0,66.7,0,0,6.02,Valencia,2021/2022,ESP,Spain
M.Dos Santos,34,Defender,188,79,27,2,2299,1,0,1,6,2,0.4,72.1,2.4,0,6.66,Almeria,2014/2015,ARG,Argentina
M.Dos Santos,34,Defender,188,79,27,2,2299,1,0,1,6,2,0.4,72.1,2.4,0,6.66,Almeria,2014/2015,ARG,Argentina
M.Dos Santos,34,Defender,188,79,30,1,2682,0,1,1,7,0,0.4,67.2,2.7,1,6.75,Eibar,2015/2016,ARG,Argentina
M.Dos Santos,34,Defender,188,79,30,1,2682,0,1,1,7,0,0.4,67.2,2.7,1,6.75,Eibar,2015/2016,ARG,Argentina
M.Dos Santos,34,Defender,188,79,8,3,761,0,0,0,1,0,0.2,73.5,1.5,0,6.34,Eibar,2016/2017,ARG,Argentina
M.Dos Santos,34,Defender,188,79,8,3,761,0,0,0,1,0,0.2,73.5,1.5,0,6.34,Eibar,2016/2017,ARG,Argentina
M.Dos Santos,34,Defender,188,79,10,4,981,0,0,0,3,0,0.1,76,1.5,0,6.56,Leganes,2017/2018,ARG,Argentina
M.Dos Santos,34,Defender,188,79,10,4,981,0,0,0,3,0,0.1,76,1.5,0,6.56,Leganes,2017/2018,ARG,Argentina
M.El Hacen,26,Midfielder,181,79,1,1,82,0,0,0,0,0,0,62.5,2,0,6.19,Levante,2017/2018,MRT,Mauritania
M.El Hacen,26,Midfielder,181,79,0,1,2,0,0,0,0,0,0,0,0,0,6.21,Real Valladolid,2018/2019,MRT,Mauritania
M.El Haddadi,28,Forward,175,69,7,3,463,1,1,2,0,0,1.8,79.7,0.7,0,6.49,Barcelona,2014/2015,MAR,Morocco
